Comment,Description,Designator,Footprint,LibRef,MPN,MYPN,Quantity,VENDOR,DPN,DURL

"2x AAA Holder","Multicell Battery","BT10B","BAT-2","Battery","","","1","","",""
"1nF, 50V, X7R (DNP)","Capacitor (Semiconductor SIM Model)","C10B, C11B, C12B, C13B, C14B, C15B, C16B, C17B, C18B, C19B, C20B, C21B, C22B, C23B, C24B, C27B, C28B, C29B","CAPC1005N","Cap Semi","CC0402KRX7R9BB102","C-102-50-X7R-0402","18","Yageo","CC0402KRX7R9BB102","http://www.digikey.com/product-detail/en/CC0402KRX7R9BB102/311-1036-6-ND/578903"
"0.1uF, 25V, X5R","Capacitor (Semiconductor SIM Model)","C10M, C13M, C16M, C17M, C18M, C19M, C26B, C29M, C30M","CAPC1005N","Cap Semi","CL05A104KA5NNNC","C-104-25-X5R-0402","9","Samsung","",""
"10uF, 10V, X5R","Capacitor (Semiconductor SIM Model)","C11M, C25B","CAPC1608N","Cap Semi","CL10A106KP8NNND","C-106-10-X5R-0603","2","Samsung","",""
"0.01uF, 10V, X7R","Capacitor (Semiconductor SIM Model)","C12M, C31M","CAPC1005N","Cap Semi","CL05B103KP5NNNC","C-103-10-X7R-0402","2","Samsung","",""
"7.5pF, 50V, NP0, +/-0.5pF","Capacitor (Semiconductor SIM Model)","C14M, C15M, C27M","CAPC1005N","Cap Semi","0402CG7R5D500NT","C-7R5-50-NP0-0402","3","Fenghua","",""
"220pF, 10V, NP0, 5%","Capacitor (Semiconductor SIM Model)","C20M","CAPC1005N","Cap Semi","0402CG221J100NT","C-221-10-NP0-0402","1","Fenghua","",""
"0402 DNP","Capacitor (Semiconductor SIM Model)","C21M, C22M, C26M","CAPC1005N","Cap Semi","None","C-DNP-0402","3","None","",""
"6.8pF, 50V, NP0, +/-0.5pF","Capacitor (Semiconductor SIM Model)","C23M","CAPC1005N","Cap Semi","0402CG6R8D500NT","C-6R8-50-NP0-0402","1","Fenghua","",""
"100pF, 50V, NP0, 5% (DNP)","Capacitor (Semiconductor SIM Model)","C24M","CAPC1005N","Cap Semi","0402CG101J500NT","C-101-50-NP0-0402","1","Fenghua","",""
"2.0pF, 50V, NP0, +/-0.25pF","Capacitor (Semiconductor SIM Model)","C25M","CAPC1005N","Cap Semi","0402CG2R0C500NT","C-2R0-50-NP0-0402","1","Fenghua","",""
"5.6pF, 50V, NP0, +/-0.25pF","Capacitor (Semiconductor SIM Model)","C28M","CAPC1005N","Cap Semi","0402CG5R6C500NT","C-5R6-50-NP0-0402","1","Fenghua","",""
"100pF, 50V, NP0, 5%","Capacitor (Semiconductor SIM Model)","C32M","CAPC1005N","Cap Semi","0402CG101J500NT","C-101-50-NP0-0402","1","Fenghua","",""
"ESD5Z3.3T1 (DNP)","TVS Diode, 3V","D10B, D11B, D12B, D13B, D14B, D15B, D16B, D17B, D18B, D19B, D20B, D21B, D23B, D24B, D25B, D27B, D28B, D29B","SOD-923","Tranzorb","ESD5Z3.3T1","D-ESD-3.0-SOD-923","18","On Semiconductor","ESD5Z3.3T1GOSTR-ND","http://www.digikey.com/product-detail/en/ESD5Z3.3T1G/ESD5Z3.3T1GOSTR-ND/1476607"
"CUS520,H3F","Schottky Diode","D22B","SOD-523","D Schottky","CUS520,H3F","D-POL-3.0-SOD-923","1","Toshiba","CUS520H3FTR-ND","http://www.digikey.com/product-detail/en/CUS520,H3F/CUS520H3FTR-ND/5114303"
"RSA5M","Zener Diode","D26B","SOD123","D Zener","","","1","","",""
